Food,Allergy,Summary,url
muesli bars,peanut,,
nougat,peanut,"Nougat (US:   NOO-gət, UK:  NOO-gah, or UK:  NUG-ət; French pronunciation: ​[nuɡa]; Azerbaijani: nuga; Persian: نوقا) is a family of confections made with sugar or honey, roasted nuts (almonds, walnuts, pistachios, hazelnuts, and macadamia nuts are common), whipped egg whites, and sometimes chopped candied fruit. The consistency of nougat is chewy, and it is used in a variety of candy bars and chocolates. The word nougat comes from Occitan pan nogat (pronounced [ˈpa nuˈɣat]), seemingly from Latin panis nucatus 'nut bread' (the late colloquial Latin adjective nucatum means 'nutted' or 'nutty').
There are three basic kinds of nougat. The first, and most common, is white nougat (mandorlato or torrone in Italy, turrón in Spain), made with beaten egg whites and honey;  it appeared in Cologna Veneta, Italy, in the early 15th century, in Alicante, Spain with the first published recipe in the 16th century, and in Montélimar, France, in the 18th century. The second is brown nougat (nougat noir in French, literally ""black nougat""), which is made without egg whites and has a firmer, often crunchy texture. The third is the Viennese or German nougat which is essentially a chocolate and nut (usually hazelnut) praline.",https://en.wikipedia.org/wiki/Nougat
pasta sauces,peanut,,
pesto,peanut,"Pesto (Italian: [ˈpesto], Ligurian: [ˈpestu]), or to refer to the original dish pesto alla genovese (Italian pronunciation: [ˈpesto alla dʒenoˈveːze]), is a sauce originating in Genoa, the capital city of Liguria, Italy. It traditionally consists of crushed garlic, European pine nuts, coarse salt, basil leaves, hard cheese such as Parmigiano-Reggiano (also known as Parmesan cheese) or Pecorino Sardo (cheese made from sheep's milk), all blended with olive oil.",https://en.wikipedia.org/wiki/Pesto
praline,peanut,"Praline (US: ; New Orleans, Cajun, and UK: ) is a form of confection containing at a minimum culinary nuts and sugar; cream is a common third ingredient.
There are three main types:

Belgian pralines, which consist of a chocolate shell with a softer, sometimes liquid, filling, traditionally made of different combinations of hazelnut, almonds, sugar, syrup, and often milk-based pastes.  These high-fat, low-melting point chocolates are at the luxury end of Belgian chocolate and represent an important product of many Belgian chocolatiers.
French pralines, a firm combination of almonds and caramelized sugar.
American pralines, a softer, creamier combination of syrup and pecans, hazelnuts or almonds with milk or cream, resembling fudge.A praline cookie is a chocolate biscuit containing ground nuts. Praline is usually used as a filling in chocolates or other sweets.",https://en.wikipedia.org/wiki/Praline
salad,peanut,"A salad is  a dish consisting of a mixture of small pieces of food, usually vegetables or fruit. However, different varieties of salad may contain virtually any type of ready-to-eat food. Salads are typically served at room temperature or chilled, with notable exceptions such as south German potato salad which can be served warm. 
Garden salads use a base of leafy greens such as lettuce, arugula/rocket, kale or spinach; they are common enough that the word salad alone often refers specifically to garden salads. Other types include bean salad, tuna salad, fattoush, Greek salad (vegetable based, but without leafy greens), and sōmen salad (a noodle-based salad). The sauce used to flavor a salad is commonly called a salad dressing; most salad dressings are based on either a mixture of oil and vinegar or a fermented milk product like kefir.
Salads may be served at any point during a meal:

Appetizer salads—light, smaller-portion salads served as the first course of the meal.
Side salads—to accompany the main course as a side dish.
Main course salads—usually containing a portion of a high-protein food, such as meat, fish, eggs, legumes, or cheese.
Dessert salads—sweet versions containing fruit, gelatin, sweeteners or whipped cream.",https://en.wikipedia.org/wiki/Salad
sauces,peanut,"In cooking, a sauce is a liquid, cream, or semi-solid food, served on or used in preparing other foods. Most sauces are not normally consumed by themselves; they add flavor, moisture, and visual appeal to a dish. Sauce is a French word taken from the Latin salsa, meaning salted. Possibly the oldest recorded European sauce is garum, the fish sauce used by the Ancient Greeks; while doubanjiang, the Chinese soy bean paste is mentioned in Rites of Zhou in the 3rd century BC.
Sauces need a liquid component. Sauces are an essential element in cuisines all over the world.
Sauces may be used for sweet or savory dishes. They may be prepared and served cold, like mayonnaise, prepared cold but served lukewarm like pesto, cooked and served warm like bechamel or cooked and served cold like apple sauce. They may be freshly prepared by the cook, especially in restaurants, but today many sauces are sold premade and packaged like Worcestershire sauce, HP Sauce, soy sauce or ketchup. Sauces for salad are called salad dressing. Sauces made by deglazing a pan are called pan sauces.
A chef who specializes in making sauces is called a saucier.",https://en.wikipedia.org/wiki/Sauce
snack foods,peanut,"A snack is a small service of food and generally eaten between meals. Snacks come in a variety of forms including packaged snack foods and other processed foods, as well as items made from fresh ingredients at home.
Traditionally, snacks are prepared from ingredients commonly available at home without a great deal of preparation. Often cold cuts, fruits, leftovers, nuts, sandwiches, and sweets are used as snacks. The Dagwood sandwich was originally the humorous result of a cartoon character's desire for large snacks. With the spread of convenience stores, packaged snack foods became a significant business.
Snack foods are typically designed to be portable, quick, and satisfying.  Processed snack foods, as one form of convenience food, are designed to be less perishable, more durable, and more portable than prepared foods.  They often contain substantial amounts of sweeteners, preservatives, and appealing ingredients such as chocolate, peanuts, and specially-designed flavors (such as flavored potato chips).
Beverages, such as coffee, are not generally considered snacks although they may be consumed along with or in lieu of snack foods.A snack eaten shortly before going to bed or during the night may be called a ""bedtime snack"", ""late night snack"", or ""(mid)night snack"".",https://en.wikipedia.org/wiki/Snack
soup,peanut,"Soup is a primarily liquid food, generally served warm or hot (but may be cool or cold), that is made by combining ingredients of meat or vegetables with stock, or water. Hot soups are additionally characterized by boiling solid ingredients in liquids in a pot until the flavors are extracted, forming a broth. Soups are similar to stews, and in some cases there may not be a clear distinction between the two; however, soups generally have more liquid (broth) than stews.In traditional French cuisine, soups are classified into two main groups: clear soups and thick soups. The established French classifications of clear soups are bouillon and consommé. Thick soups are classified depending upon the type of thickening agent used: purées are vegetable soups thickened with starch; bisques are made from puréed shellfish or vegetables thickened with cream; cream soups may be thickened with béchamel sauce; and veloutés are thickened with eggs, butter, and cream. Other ingredients commonly used to thicken soups and broths include egg, rice, lentils, flour, and grains; many popular soups also include pumpkin, carrots, potatoes, pig's trotters and bird's nests.
Other types of soup include fruit soups, dessert soups, pulse soups like split pea, cold soups and other styles.",https://en.wikipedia.org/wiki/Soup
stuffing,peanut,"Stuffing or filling is an edible mixture, normally consisting primarily of small cut-up pieces of bread or a similar starch and served as a side dish or used to fill a cavity in another food item while cooking.  Many foods may be stuffed, including eggs, poultry, seafood, mammals, and vegetables, but chickens and turkey are the most common.  Stuffing serves the dual purpose of helping to keep the meat moist while also adding to the mix of flavours of both the stuffing and the thing it is stuffed in.  
Poultry stuffing often consists of dried breadcrumbs, onion, celery, salt, pepper, and other spices and herbs, a common herb being sage. Giblets are often used. Additions in the United Kingdom include dried fruits and nuts (such as apricots and flaked almonds), and chestnuts.",https://en.wikipedia.org/wiki/Stuffing
tahini,peanut,"Tahini  or tahina  is a condiment made from toasted ground hulled sesame. It is served by itself (as a dip) or as a major ingredient in hummus, baba ghanoush, and halva.
Tahini is used in the cuisines of the Eastern Mediterranean, the South Caucasus, and the Middle East, as well as parts of North Africa. It is also used in Chinese and Southeast Asian cuisine.Plain, unprocessed sesame paste with no added ingredients is sometimes known as raw tahini.",https://en.wikipedia.org/wiki/Tahini
takeaway,peanut,"Takeaway.com, officially Takeaway.com N.V., and created originally under its Dutch name Thuisbezorgd.nl, is a Dutch dot-com company specialized in online food ordering and home delivery. Takeaway.com is an intermediary online portal between the customer and the restaurants, where customers can order food online from restaurants’ menus, and have it delivered by the restaurants directly to their home.",
asian foods,sesame,"An Asian supermarket is a category of grocery stores in Western countries that stocks items imported from the multiple countries in East, South and Southeast Asia. Supermarkets in Asia generally (except for the Middle East) have no equivalent to the ""Asian"" supermarkets of the West; foodstuffs in each respective Asian country have vastly different regulations and supply chains from one another, so stores are localized for each country's tastes and only carry locally approved items for that market. Examples of this: seaweed snacks, originate in Japan where they are salty or savory, in Thailand they are often spicy and locally produced.",https://en.wikipedia.org/wiki/Asian_supermarket
bakery goods,sesame,,
breakfast cereals,sesame,"Muesli ( MEWZ-lee; Swiss German: Müesli [ˈmyə̯sli], non-Swiss Standard German: Müsli [ˈmyːsli] (listen)) is a cold breakfast cereal dish based on rolled oats and ingredients like grains, nuts, seeds and fresh or dried fruits. This mix may be combined with one or more liquids like milk, almond milk, other plant milks, yogurt, or fruit juice and left for a time to soften the oats before being consumed. The cereal is served cold.Developed around 1900 by Swiss physician Maximilian Bircher-Benner for patients in his hospital, muesli is available ready-made in prepackaged dry form, or it can be made from scratch. In Switzerland and Germany, it is also eaten as a light evening dish called Birchermüesli complet: muesli with bread (Butterbrot) and coffee with milk (café au lait).",https://en.wikipedia.org/wiki/Muesli
crackers,sesame,,
dips,sesame,,
dressings,sesame,,
herbs,sesame,"In general use, herbs are plants with savory or aromatic properties that are used for flavoring and garnishing food, medicinal purposes, or for fragrances; excluding vegetables and other plants consumed for macronutrients. Culinary use typically distinguishes herbs from spices. Herbs generally refers to the leafy green or flowering parts of a plant (either fresh or dried), while spices are usually dried and produced from other parts of the plant, including seeds, bark, roots and fruits.
Herbs have a variety of uses including culinary, medicinal, and in some cases, spiritual. General usage of the term ""herb"" differs between culinary herbs and medicinal herbs; in medicinal or spiritual use, any parts of the plant might be considered as ""herbs"", including leaves, roots, flowers, seeds, root bark, inner bark (and cambium), resin and pericarp.
The word ""herb"" is pronounced  in Commonwealth English, but  is common among North American English speakers and those from other regions where h-dropping occurs. In botany, the word ""herb"" is used as a synonym for ""herbaceous plant"".",https://en.wikipedia.org/wiki/Herb
marinades,sesame,,
middle eastern foods,sesame,"Middle Eastern cuisine is the cuisine of the various countries and peoples of the Middle East. The cuisine of the region is diverse while having a degree of homogeneity. It includes Arab, Iranian/Persian, Israeli/Jewish, Assyrian, Kurdish, Cypriot, and Turkish cuisines. In 2017, Middle Eastern cuisine was claimed by many sources to be one of the most popular and fastest growing ethnic cuisines in the US. Some commonly used ingredients include olives and olive oil, pitas, honey, sesame seeds, dates, sumac, chickpeas, mint, rice, and parsley. Some popular dishes include kebabs, dolma, falafel, baklava, yogurt, doner kebab, shawarma and Mulukhiyah.",https://en.wikipedia.org/wiki/Middle_Eastern_cuisine
muesli bars,sesame,,
nutritional snacks,sesame,"A fruit snack is a sugary processed food marketed to the parents as a snack for children in the United States.  Fruit snacks are very similar to gummy candies.  The main content is sugar, especially refined sugar derived from concentrated white grape juice and apple juice.  Some fruit snacks have more sugar than gummi candies, and they usually have less protein.  The main differences between gummi candies and fruit snacks are the marketing and advertising approaches, and the use of refined sugar extracted from tapioca or fruit juice in addition to, or sometimes instead of, refined sugar extracted from sugar beets, corn, or sugarcane.
Well-known manufacturers of chewy fruit snacks include Promotion In Motion (Welch's brand), Kellogg's,  General Mills and Betty Crocker. 
Fruit snacks gained popularity from their convenience, candy-like taste, and marketing that positioned the product as being healthier than candy.  Most are stored in disposable plastic packaging that does not need to be refrigerated; therefore, they can be taken virtually anywhere. However, they do have an expiration date. Fruit snacks vary in the amount of fruit content. Some, like Welch's, contain some fruit purees. Others only have trace amounts of juice, in addition to sugar. 
Fruit leathers differ in that they have a different shape.  The ingredients may be the same, or they may be made primarily from pureed, dried fruit and concentrated, high-sugar fruit juice.",https://en.wikipedia.org/wiki/Fruit_snack
pretzels,sesame,"A pretzel (listen ) (German: Breze(l)) (listen ) is a type of baked bread product made from dough most commonly shaped into a twisted knot. The traditional pretzel shape is a distinctive symmetrical form, with the ends of a long strip of dough intertwined and then twisted back into itself in a certain way (a pretzel loop). In modern times, pretzels come in a range of different shapes. 
Salt is the most common seasoning for pretzels, complementing the washing soda or lye treatment that gives pretzels their traditional skin and flavor through the Maillard reaction; other seasonings include various cheeses, sugars, chocolate, glazes, seeds, or nuts. There are several varieties of pretzels, including soft pretzels, which must be eaten shortly after preparation, and hard-baked pretzels, which have a long shelf life. Although popular stories claim that the pretzel was invented by a Christian monk to represent arms crossed in prayer to the Trinity, they actually originated in Europe centuries prior to Christ's birth.",https://en.wikipedia.org/wiki/Pretzel
salads,sesame,"A salad is  a dish consisting of a mixture of small pieces of food, usually vegetables or fruit. However, different varieties of salad may contain virtually any type of ready-to-eat food. Salads are typically served at room temperature or chilled, with notable exceptions such as south German potato salad which can be served warm. 
Garden salads use a base of leafy greens such as lettuce, arugula/rocket, kale or spinach; they are common enough that the word salad alone often refers specifically to garden salads. Other types include bean salad, tuna salad, fattoush, Greek salad (vegetable based, but without leafy greens), and sōmen salad (a noodle-based salad). The sauce used to flavor a salad is commonly called a salad dressing; most salad dressings are based on either a mixture of oil and vinegar or a fermented milk product like kefir.
Salads may be served at any point during a meal:

Appetizer salads—light, smaller-portion salads served as the first course of the meal.
Side salads—to accompany the main course as a side dish.
Main course salads—usually containing a portion of a high-protein food, such as meat, fish, eggs, legumes, or cheese.
Dessert salads—sweet versions containing fruit, gelatin, sweeteners or whipped cream.",https://en.wikipedia.org/wiki/Salad
spices,sesame,"A spice is a seed, fruit, root, bark, or other plant substance primarily used for flavoring, coloring or preserving food. Spices are distinguished from herbs, which are the leaves, flowers, or stems of plants used for flavoring or as a garnish. Many spices have antimicrobial properties . This may explain why spices are more commonly used in warmer climates, which have more infectious diseases, and why the use of spices is prominent in meat, which is particularly susceptible to spoiling. Spices are sometimes used in medicine, religious rituals, cosmetics or perfume production.",https://en.wikipedia.org/wiki/Spice
spreads,sesame,,
vegetarian food,sesame,"Vegetarian cuisine is based on food that meets vegetarian standards by not including meat and animal tissue products (such as gelatin or animal-derived rennet). For lacto-ovo vegetarianism (the most common type of vegetarianism in the Western world), eggs and dairy products, such as milk and cheese, are permitted. For lacto vegetarianism, the earliest known type of vegetarianism (recorded in India), dairy products, such as milk and cheese, are permitted. The strictest forms of vegetarianism are veganism and fruitarianism, which exclude all animal products, including dairy, honey, and some refined sugars if filtered and whitened with bone char.  There are also partial vegetarians who do not eat meat but may eat fish.Vegetarian foods can be classified into several different types:

Traditional foods that have always been vegetarian include cereals, grains, fruits, vegetables, legumes and nuts.
Soy products, including tofu and tempeh, which are common protein sources.
Textured vegetable protein (TVP), made from defatted soy flour, often included in chili and burger recipes in place of ground meat.
Meat analogues, which mimic the taste, texture, and appearance of meat and are often used in recipes that traditionally contained meat.
Eggs and dairy product analogues in vegan cuisine (such as aquafaba, plant cream or plant milk).",https://en.wikipedia.org/wiki/Vegetarian_cuisine
asian soups and dishes,shellfish,,
bouillabaisse,shellfish,"Bouillabaisse (French pronunciation: ​[bu.ja.bɛːs]; Occitan: bolhabaissa [ˌbuʎaˈβajsɔ / ˌbujaˈbajsɔ]) is a traditional Provençal fish stew originating from the port city of Marseille. The French and English form bouillabaisse comes from the Provençal Occitan word bolhabaissa, a compound that consists of the two verbs bolhir (to boil) and abaissar (to reduce heat, i.e., simmer).
Bouillabaisse was originally a stew made by Marseille fishermen using the bony rockfish which they were unable to sell to restaurants or markets. There are at least three kinds of fish in a traditional bouillabaisse: typically red rascasse (Scorpaena scrofa); sea robin; and European conger. It can also include gilt-head bream, turbot, monkfish, mullet, or European hake.  It usually also includes shellfish and other seafood such as sea urchins, mussels, velvet crabs, spider crab or octopus. More expensive versions may add langoustine (Norway lobster), though this was not part of the traditional dish made by Marseille fishermen.  Vegetables such as leeks, onions, tomatoes, celery, and potatoes are simmered together with the broth and served with the fish. The broth is traditionally served with a rouille, a mayonnaise made of olive oil, garlic, saffron, and cayenne pepper on grilled slices of bread.
What makes a bouillabaisse different from other fish soups is the selection of Provençal herbs and spices in the broth; the use of bony local Mediterranean fish; the way the fish are added one at a time, and brought to a boil; and the method of serving. In Marseille, the broth is served first in a soup plate with slices of bread and rouille, then the fish is served separately on a large platter  (see image at right);  or, more simply,  as Julia Child suggests, the fish and broth are brought to the table separately and served together in large soup plates.",https://en.wikipedia.org/wiki/Bouillabaisse
chitin,shellfish,"Chitin (C8H13O5N)n ( KY-tin), a long-chain polymer of N-acetylglucosamine, is a derivative of glucose.  It is a primary component of cell walls in fungi, the exoskeletons of arthropods, such as crustaceans and insects, the radulae of molluscs, cephalopod beaks, and the scales of fish and lissamphibians. The structure of chitin is comparable to another polysaccharide—cellulose, forming crystalline nanofibrils or whiskers. In terms of function, it may be compared to the protein keratin. Chitin has proved useful for several medicinal, industrial and biotechnological purposes.",https://en.wikipedia.org/wiki/Chitin
cuttlefish ink,shellfish,"Cuttlefish or cuttles are marine molluscs of the order Sepiida. They belong to the class Cephalopoda, which also includes squid, octopuses, and nautiluses. Cuttlefish have a unique internal shell, the cuttlebone. 
Cuttlefish have large, W-shaped pupils, eight arms, and two tentacles furnished with denticulated suckers, with which they secure their prey. They generally range in size from 15 to 25 cm (6 to 10 in), with the largest species, Sepia apama, reaching 50 cm (20 in) in mantle length and over 10.5 kg (23 lb) in mass.Cuttlefish eat small molluscs, crabs, shrimp, fish, octopus, worms, and other cuttlefish. Their predators include dolphins, sharks, fish, seals, seabirds, and other cuttlefish. The average life expectancy of a cuttlefish is about 1–2 years. Recent studies indicate cuttlefish are among the most intelligent invertebrates. Cuttlefish also have one of the largest brain-to-body size ratios of all invertebrates.The ""cuttle"" in cuttlefish comes from the Old English name for the species, cudele, which may be cognate with the Old Norse koddi (cushion) and the Middle Low German Kudel (rag). The Greco-Roman world valued the cuttlefish as a source of the unique brown pigment the creature releases from its siphon when it is alarmed. The word for it in both Greek and Latin, sepia, now refers to the reddish-brown color sepia in English.",https://en.wikipedia.org/wiki/Cuttlefish
fish chowder,shellfish,"Chowder is a type of soup or stew often prepared with milk or cream and thickened with broken crackers, crushed ship biscuit, or a roux. Variations of chowder can be seafood or vegetable. Crackers such as oyster crackers or saltines may accompany chowders as a side item, and cracker pieces may be dropped atop the dish. New England clam chowder is typically made with chopped clams and diced potatoes, in a mixed cream and milk base, often with a small amount of butter. Other common chowders include seafood chowder, which includes fish, clams, and many other types of shellfish; corn chowder, which uses corn instead of clams; a wide variety of fish chowders; and potato chowder, which is often made with cheese. Fish chowder, corn chowder, and clam chowder are especially popular in the North American regions of New England and Atlantic Canada.",https://en.wikipedia.org/wiki/Chowder
fish sauce,shellfish,"Fish paste is fish which has been chemically broken down by a fermentation process until it reaches the consistency of a soft creamy purée or paste. Alternatively it refers to cooked fish which has been physically broken down by pounding, grinding, pressing, mincing, blending, and/or sieving, until it reaches the consistency of paste. The term can be applied also to shellfish pastes, such as shrimp paste or crab paste.
Fish paste is used as a condiment or seasoning to add flavour to food, or in some cases to complement a dish. Generally, fish paste is reduced to a thick, rich concentrate, which has usually been cooked for a long time. It can be contrasted with fish sauce, which is like a fish paste except it is not cooked for so long, is a thick liquid rather than a concentrated paste, and may include seasonings and other flavorings.",https://en.wikipedia.org/wiki/Fish_paste
flavouring,shellfish,"Flavor (American English) or flavour (British English; see spelling differences) is the sensory impression of food or other substances, and is determined primarily by the chemical senses of taste and smell. The ""trigeminal senses"", which detect chemical irritants in the mouth and throat, as well as temperature and texture, are also important to the overall gestalt of flavor perception. The flavor of the food, as such, can be altered with natural or artificial flavorants which affect these senses.
A ""flavorant"" is defined as a substance that gives another substance flavor, altering the characteristics of the solute, causing it to become sweet, sour, tangy, etc.  A flavor is a quality of something that affects the sense of taste.Of the three chemical senses, smell is the main determinant of a food item's flavor. Five basic tastes – sweet, sour, bitter, salty and umami (savory) are universally recognized, although some cultures also include pungency and oleogustus (""fattiness""). The number of food smells is unbounded; a food's flavor, therefore, can be easily altered by changing its smell while keeping its taste similar. This is exemplified in artificially flavored jellies, soft drinks and candies, which, while made of bases with a similar taste, have dramatically different flavors due to the use of different scents or fragrances. The flavorings of commercially produced food products are typically created by flavorists.
Although the terms flavoring and flavorant in common language denote the combined chemical sensations of taste and smell, the same terms are used in the fragrance and flavors industry to refer to edible chemicals and extracts that alter the flavor of food and food products through the sense of smell. Due to the high cost or unavailability of natural flavor extracts, most commercial flavorants are ""nature-identical"", which means that they are the chemical equivalent of natural flavors, but chemically synthesized rather than being extracted from source materials. Identification of components of natural foods, for example a raspberry, may be done using technology such as headspace techniques, so the flavorist can imitate the flavor by using a few of the same chemicals present.",https://en.wikipedia.org/wiki/Flavor
marinara,shellfish,,
oyster sauce,shellfish,"Oyster sauce describes a number of sauces made by cooking oysters. The most common in modern use is a viscous dark brown condiment made from oyster extracts, sugar, salt and water thickened with corn starch. Some versions may be darkened with caramel, though high-quality oyster sauce is naturally dark. It is commonly used in Cantonese, Thai, Malay, Vietnamese and Khmer cuisine.",https://en.wikipedia.org/wiki/Oyster_sauce
prawn crackers,shellfish,"The prawn cracker (known as krupuk udang in Indonesia, keropok in Malaysia, kropek or kropeck in the Philippines, and as bánh phồng tôm in Vietnam) is a form of deep fried snack made from starch and prawn. Prawn crackers are a common snack food throughout Southeast Asia, but they are most closely associated with Indonesia and Malaysia in the west. They have also been adapted into East Asian cuisines.Similar foods include also Kappa Ebisen (かっぱえびせん) (Japan) and Saeukkang (Korea), which are a popular snack in both countries.",https://en.wikipedia.org/wiki/Prawn_cracker
seafood extender,shellfish,"Surimi (Japanese: 擂り身 / すり身, ""ground meat"") refers to a paste made from fish or other meat. It can also refer to a number of East Asian foods that use that paste as their primary ingredient. It is available in many shapes, forms, and textures, and is often used to mimic the texture and color of the meat of lobster, crab, grilled Japanese eel and other shellfish.
The most common surimi product in the Western market is imitation crab meat. Such a product often is sold as krab, imitation crab and mock crab in the United States, and as seafood sticks, crab sticks, fish sticks, seafood highlighter or seafood extender in Commonwealth nations. In Britain, the product is sometimes known as seafood sticks to avoid breaking Trading Standards rules on false advertising.",https://en.wikipedia.org/wiki/Surimi
seafood flavouring,shellfish,,
squid ink,shellfish,"Cephalopod ink is a dark-coloured ink released into water by most species of cephalopod, usually as an escape mechanism. All cephalopods, with the exception of the Nautilidae and the Cirrina (deep-sea octopuses), are able to release ink.
The ink is released from the ink sacs (located between the gills) and is dispersed more widely when its release is accompanied by a jet of water from the siphon. Its dark colour is caused by its main constituent, melanin. Each species of cephalopod produces slightly differently coloured inks; generally, octopuses produce black ink, squid ink is blue-black, and cuttlefish ink is a shade of brown.
A number of other aquatic molluscs have similar responses to attack, including the gastropod clade known as sea hares.",https://en.wikipedia.org/wiki/Cephalopod_ink
surimi,shellfish,"Surimi (Japanese: 擂り身 / すり身, ""ground meat"") refers to a paste made from fish or other meat. It can also refer to a number of East Asian foods that use that paste as their primary ingredient. It is available in many shapes, forms, and textures, and is often used to mimic the texture and color of the meat of lobster, crab, grilled Japanese eel and other shellfish.
The most common surimi product in the Western market is imitation crab meat. Such a product often is sold as krab, imitation crab and mock crab in the United States, and as seafood sticks, crab sticks, fish sticks, seafood highlighter or seafood extender in Commonwealth nations. In Britain, the product is sometimes known as seafood sticks to avoid breaking Trading Standards rules on false advertising.",https://en.wikipedia.org/wiki/Surimi
sushi,shellfish,"Sushi (すし, 寿司, 鮨, pronounced [sɯꜜɕi] or [sɯɕiꜜ]) is a Japanese dish of prepared vinegared rice (鮨飯, sushi-meshi), usually with some sugar and salt, accompanying a variety of ingredients (ネタ, neta), such as seafood, vegetables, and occasionally tropical fruits. Styles of sushi and its presentation vary widely, but the one key ingredient is ""sushi rice"", also referred to as shari (しゃり), or sumeshi (酢飯). 
Sushi is traditionally made with medium-grain white rice, though it can be prepared with brown rice or short-grain rice. It is very often prepared with seafood, such as squid, eel, yellowtail, salmon, tuna or imitation crab meat. Many types of sushi are vegetarian. It is often served with pickled ginger (gari), wasabi, and soy sauce. Daikon radish or pickled daikon  (takuan) are popular garnishes for the dish.
Sushi is sometimes confused with sashimi, a related dish in Japanese cuisine that consists of thinly sliced raw fish, or occasionally meat, and an optional serving of rice.",https://en.wikipedia.org/wiki/Sushi
bakery goods,soy,"A bakery (also baker's shop or bake shop) is an establishment that produces and sells flour-based food baked in an oven such as bread, cookies, cakes, pastries, and pies. Some retail bakeries are also cafés, serving coffee and tea to customers who wish to consume the baked goods on the premises.",https://en.wikipedia.org/wiki/Bakery
bread,soy,"Bread is a staple food prepared from a dough of flour and water, usually by baking. Throughout recorded history it has been a prominent food in large parts of the world and is one of the oldest man-made foods, having been of significant importance since the dawn of agriculture.
Bread may be leavened by processes such as reliance on naturally occurring sourdough microbes, chemicals, industrially produced yeast, or high-pressure aeration. Commercial bread commonly contains additives to improve flavor, texture, color, shelf life, nutrition, and ease of manufacturing.
Bread plays essential roles in religious rituals and secular culture.",https://en.wikipedia.org/wiki/Bread
breadcrumbs,soy,"Bread crumbs or breadcrumbs (regional variants: breading, crispies) are sliced residue of dry bread, used for breading or crumbing foods, topping casseroles, stuffing poultry, thickening stews, adding inexpensive bulk to soups, meatloaves and similar foods, and making a crisp and crunchy covering for fried foods, especially breaded cutlets like tonkatsu and schnitzel.  The Japanese variety of bread crumbs is called panko.",https://en.wikipedia.org/wiki/Bread_crumbs
cereals,soy,"A cereal is any grass cultivated (grown) for the edible components of its grain (botanically, a type of fruit called a caryopsis), composed of the endosperm, germ, and bran. The term may also refer to the resulting grain itself (specifically ""cereal grain""). Cereal grain crops are grown in greater quantities and provide more food energy worldwide than any other type of crop and are therefore staple crops. Edible grains from other plant families, such as buckwheat (Polygonaceae), quinoa (Amaranthaceae) and chia (Lamiaceae), are referred to as pseudocereals.
In their natural, unprocessed, whole grain form, cereals are a rich source of vitamins, minerals, carbohydrates, fats, oils, and protein. When processed by the removal of the bran, and germ, the remaining endosperm is mostly carbohydrate. In some developing countries, grain in the form of rice, wheat, millet, or maize constitutes a majority of daily sustenance. In developed countries, cereal consumption is moderate and varied but still substantial.
The word cereal is derived from Ceres, the Roman goddess of harvest and agriculture.",https://en.wikipedia.org/wiki/Cereal
chocolate nut spread,soy,"A nut butter is a spreadable foodstuff made by grinding nuts into a paste. The result has a high fat content and can be spread like true butter, but is otherwise unrelated. Nut butters include:

Acorn butter
Almond butter
Cashew butter
Hazelnut butter
Macadamia nut butter
Peanut butter
Pecan butter
Pistachio butter
Walnut butterThe almond, cashew, macadamia, peanut, pecan, pistachio and walnut are not true nuts in a botanical sense. However, because they are considered nuts in a culinary sense, their crushed spreads are called nut butters. Similar spreads can also be made from seeds not considered nuts in a culinary sense:

Pumpkin seed butter
Sesame seed butter (usually called tahini)
Soybean butter – made from soynuts (roasted soybeans)
Sunflower seed butter
Hummus or chickpea spreadNut and seed butters have a high content of protein, fiber, and essential fatty acids, and can be used to replace butter or margarine on bread or toast.
The grinding of nuts into a paste has a long history. Almond paste or marzipan was highly prized by the caliphs of Baghdad. ""The Kitab al-Tabikh or Book of Recipes was a collection of recipes from the court of ninth-century Baghdad. The most esteemed sweet was lauziinaq, an almond paste much like marzipan."" Hazelnut butter was mixed with chocolate to overcome shortages during the Napoleonic wars and WWII, which led to the invention of Nutella.",https://en.wikipedia.org/wiki/Nut_butter
chocolates and sweets,soy,"Quality Street is a selection of individual tinned or boxed toffees, chocolates and sweets, first manufactured by Mackintosh's in Halifax, West Yorkshire, England, in 1936. It was named after J. M. Barrie's play Quality Street. Today it is produced by Nestlé.",https://en.wikipedia.org/wiki/Quality_Street_(confectionery)
crumbed meats and fish,soy,,
dairy whitener,soy,,
